Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,3135176149,2/23/2026 10:30,2/23/2026 17:20,XAUUSD,Sell,0.08,5202.66,0,5124.66,5202.67,-2.06,0,-7801,-626.14,-0.48,1068,1068,00:06:50:23,0,0s,9422,10000,0,0,-9422,-753.76,0,17.2,-7801,-624.08
,3134228869,2/18/2026 2:45,2/18/2026 2:51,XAUUSD,Sell,0.25,4881.66,0,4877.69,4882.01,-6.1,0,-432,-114.1,-0.09,1057[sl 4881.66],1057,00:00:05:42,0,0s,432,434.78,0,0,-432,-108,0,0,-432,-108
,3134220381,2/18/2026 1:16,2/18/2026 1:16,XAUUSD,Sell,0.25,4881.66,0,4877.6,4882.13,-6.1,0,-453,-119.35,-0.09,1057[sl 4881.66],1057,00:00:00:09,,,,,,,,,,,,
,3134214407,2/17/2026 23:47,2/17/2026 23:50,XAUUSD,Sell,0.25,0,0,4877.17,4878.11,-6.1,0,-94,-29.6,-0.02,10571057,1057,00:00:02:17,,,,,,,,,,,,
,3134212355,2/17/2026 23:24,2/17/2026 23:25,XAUUSD,Sell,0.25,4881.66,0,4877.47,4881.83,-6.1,0,-436,-115.1,-0.09,1057[sl 4881.66],1057,00:00:01:24,,,,,,,,,,,,
,3134208423,2/17/2026 22:58,2/17/2026 23:01,XAUUSD,Sell,0.25,4881.66,0,4877.31,4881.71,-6.1,0,-440,-116.1,-0.09,1057[sl 4881.66],1057,00:00:02:39,,,,,,,,,,,,
,3134202101,2/17/2026 22:02,2/17/2026 22:41,XAUUSD,Sell,0.25,4881.66,0,4877.47,4882.09,-6.1,0,-462,-121.6,-0.09,1057[sl 4881.66],1057,00:00:39:26,0,0s,462,476.19,0,0,-462,-115.5,0,0,-462,-115.5
,3134197566,2/17/2026 21:31,2/17/2026 21:34,XAUUSD,Sell,0.25,4881.66,0,4877.43,4881.67,-6.1,0,-424,-112.1,-0.09,1057[sl 4881.66],1057,00:00:03:38,,,,,,,,,,,,
,3134153923,2/17/2026 18:30,2/17/2026 18:31,XAUUSD,Sell,0.25,4881.66,0,4877.63,4882.16,-6.1,0,-453,-119.35,-0.09,1057[sl 4881.66],1057,00:00:01:02,,,,,,,,,,,,
,3134138217,2/17/2026 18:00,2/17/2026 18:00,XAUUSD,Sell,0.25,4881.66,0,4877.66,4881.83,-6.1,0,-417,-110.35,-0.08,1057[sl 4881.66],1057,00:00:00:37,,,,,,,,,,,,
,3134086840,2/17/2026 16:39,2/17/2026 16:39,XAUUSD,Sell,0.25,4881.66,0,4877.62,4882.01,-6.1,0,-439,-115.85,-0.09,1057[sl 4881.66],1057,00:00:00:28,,,,,,,,,,,,
,3134070655,2/17/2026 15:58,2/17/2026 16:05,XAUUSD,Sell,0.25,4881.66,0,4875.44,4881.72,-6.1,0,-628,-163.1,-0.12,1057[sl 4881.66],1057,00:00:07:28,0,0s,983,1000,0,0,-983,-245.75,0,36.1,-628,-157
,3133970281,2/17/2026 7:45,2/17/2026 7:46,XAUUSD,Sell,0.25,4881.66,0,4877.14,4881.8,-6.1,0,-466,-122.6,-0.09,1057[sl 4881.66],1057,00:00:01:08,,,,,,,,,,,,
,3133965264,2/17/2026 7:31,2/17/2026 7:31,XAUUSD,Sell,0.25,4881.66,0,4871.75,4882.72,-6.09,0,-1097,-280.34,-0.21,1057[sl 4881.66],1057,00:00:00:00,,,,,,,,,,,,
,3132664325,2/10/2026 14:14,2/16/2026 6:51,EURGBP,Sell,0.03,0,0,0.87058,0.86987,-0.18,0.45,7.1,3.17,0,105,105,05:16:37:07,56.2,3d 4h ,34.8,0.8,20.8,8.528,-16.6,-6.806,55.6,63.4,-13.7,-5.62
,3132944092,2/11/2026 12:40,2/12/2026 8:00,XAUUSD,Buy,0.04,0,0,5090.54,5075.1,-1.02,-11.87,-1544,-74.65,-0.06,903,903,00:19:19:05,3.5,40m,4666,8.23,567,22.68,-4666,-186.64,10.8,59.7,-2111,-84.44
,3132510143,2/11/2026 12:40,2/11/2026 20:00,XAUUSD,Buy,0.2,5090.2,0,5090.54,5090.03,-5.1,0,-51,-15.3,-0.01,908,908,00:07:19:43,6.4,28m,6832,12.06,567,113.4,-6832,-1366.4,7.7,91.6,-618,-123.6
,3128949004,1/26/2026 0:05,2/10/2026 16:00,EURGBP,Buy,0.02,0,0,0.86883,0.87016,-0.12,-2.54,13.3,0.98,0,111,111,15:15:54:29,21.8,3d 9h ,85.7,1.61,46.8,12.636,-75.4,-20.358,38.3,72.6,-33.5,-9.04
,3127401509,1/20/2026 11:36,2/9/2026 12:00,EURGBP,Buy,0.03,0,0,0.87013,0.87214,-0.18,-5.03,20.1,2.99,0,105105,105,20:00:23:14,17,3d 9h ,128.9,2.18,40.5,16.605,-88.4,-36.244,31.4,84.2,-20.4,-8.36
,3130380147,2/2/2026 3:10,2/2/2026 9:49,XAUUSD,Sell,0.02,4618.42,0,4628.47,4618.26,-0.46,0,1021,19.96,0.02,907,907,00:06:39:26,45.9,3h 3m,31334,0.43,22578,451.56,-9650,-193,70.1,33.1,-21557,-431.14
,3130380868,2/2/2026 3:10,2/2/2026 7:49,XAUUSD,Sell,0.04,0,4536.1,4628.47,4536.1,-0.91,0,9237,368.57,0.28,903,903,00:04:39:02,50.6,2h 21m,14781,0.43,22578,903.12,-9650,-386,70.1,58.6,-13341,-533.64
,3128526077,1/22/2026 17:26,1/23/2026 10:28,XAUUSD,Buy,0.02,4901.34,0,4853.26,4901.18,-0.49,-1.41,4792,93.94,0.07,906,906,00:17:01:35,100,17h 1m,6556,0,11348,226.96,0,0,100,42.2,-6556,-131.12
,3123703856,12/26/2025 23:23,12/26/2025 23:50,EURGBP,Buy,1.26,0,0,0.87203,0.87181,-7.42,0,-2.2,-44.84,-0.03,30133013,3013,00:00:26:13,,,,,,,,,,,,
,3123668884,12/26/2025 18:21,12/26/2025 23:50,EURGBP,Buy,0.25,0,0,0.8725,0.87181,-1.48,0,-6.9,-24.77,-0.02,3009,3009,00:05:29:00,0,0s,7.9,7.91,0,0,-7.9,-26.702,0,12.7,-6.9,-23.32
,3123550333,12/26/2025 1:00,12/26/2025 19:45,EURGBP,Buy,1.26,0,0,0.87234,0.87227,-7.42,0,-0.7,-19.32,-0.01,30133013,3013,00:18:45:00,60.5,11h 20m,18.8,0.65,11.4,193.8,-7.4,-125.8,60.6,35.6,-12.1,-205.7
,3123413128,12/24/2025 0:15,12/24/2025 23:50,EURGBP,Buy,0.25,0,0,0.87322,0.87201,-1.48,0,-12.1,-42.33,-0.03,30093009,3009,00:23:35:00,0,0s,12.7,12.71,0,0,-12.7,-42.926,0,4.7,-12.1,-40.9
,3123413127,12/24/2025 0:15,12/24/2025 19:00,EURGBP,Buy,1.26,0,0,0.87322,0.87237,-7.42,0,-8.5,-152.03,-0.12,30133013,3013,00:18:45:00,0,0s,12.7,12.71,0,0,-12.7,-216.027,0,33.1,-8.5,-144.59
,3123422057,12/24/2025 2:21,12/24/2025 18:26,EURUSD,Sell,1,0,1.17741,1.17936,1.17741,-5.89,0,19.5,189.11,0.14,Strategy_0_1824098[tp 1.17741],2030,00:16:05:14,67.4,10h 50m,19.9,0.48,19.5,195,-9.3,-93,67.7,100,0,0
,3123215648,12/23/2025 0:30,12/23/2025 23:50,EURUSD,Sell,1,0,0,1.17576,1.17964,-5.89,0,-38.8,-393.89,-0.3,Strategy_0_1824098,2030,00:23:19:58,,,,,,,,,,,,
,3123307334,12/23/2025 14:27,12/23/2025 23:50,EURGBP,Buy,1.26,0,0,0.8737,0.87251,-7.44,0,-11.9,-210.15,-0.16,30133013,3013,00:09:22:02,0,0s,13.7,13.72,0,0,-13.7,-233.311,0,13.1,-11.9,-202.66
,3123242634,12/23/2025 4:50,12/23/2025 23:50,EURGBP,Buy,0.25,0,0,0.87356,0.87251,-1.48,0,-10.5,-36.97,-0.03,30093009,3009,00:18:59:19,,,,,,,,,,,,
,3123117178,12/22/2025 13:36,12/22/2025 23:50,EURUSD,Sell,1,0,0,1.17309,1.1762,-5.87,0,-31.1,-316.87,-0.24,Strategy_0_1824098Strategy_0_1824098,2030,00:10:13:06,0,0s,37.3,37.31,0,0,-37.3,-373,0,16.6,-31.1,-311
,3123085082,12/22/2025 15:03,12/22/2025 23:50,EURUSD,Buy,0.17,0,0,1.17443,1.17615,-1,0,17.2,28.24,0.02,Strategy_0_2190562Strategy_0_2190562,2006,00:08:46:41,100,8h 46m,19.8,0.04,23.9,40.63,0,0,100,72,-6.7,-11.39
,3123034791,12/22/2025 3:38,12/22/2025 23:50,XAUUSD,Buy,0.01,0,0,4375.14,4445.51,-0.22,0,7037,70.15,0.05,Strategy_0_51939Strategy_0_51939,1053,00:20:11:14,100,20h 11m,1362,0,8399,83.99,0,0,100,83.8,-1362,-13.62
,3122964230,12/19/2025 18:01,12/19/2025 23:50,XAUUSD,Buy,0.01,0,0,4353.44,4338.48,-0.22,0,-1496,-15.18,-0.01,Strategy_0_51939Strategy_0_51939,1053,00:05:48:42,5.2,18m,1886,6.01,269,2.69,-1617,-16.17,14.3,6.4,-1765,-17.65
,3122922982,12/19/2025 16:02,12/19/2025 23:50,EURUSD,Buy,0.17,0,0,1.17255,1.17103,-1,0,-15.2,-26.84,-0.02,Strategy_0_2190562Strategy_0_2190562,2006,00:07:47:34,2.4,11m,18,10.26,1.6,2.72,-16.4,-27.88,8.9,6.7,-16.8,-28.56
,3122885805,12/19/2025 18:01,12/19/2025 23:50,XAUUSD,Buy,0.02,0,0,4353.44,4338.48,-0.44,0,-1496,-30.36,-0.02,Strategy_0_59046Strategy_0_59046,1009,00:05:48:42,5.2,18m,1886,6.01,269,5.38,-1617,-32.34,14.3,6.4,-1765,-35.3
,3122721106,12/18/2025 18:11,12/18/2025 23:50,XAUUSD,Buy,0.01,0,0,4354.89,4331.89,-0.22,0,-2300,-23.22,-0.02,Strategy_0_51939,1053,00:05:38:37,0,0s,3065,3333.33,0,0,-3065,-30.65,0,25,-2300,-23
,3122701637,12/18/2025 18:11,12/18/2025 23:50,XAUUSD,Buy,0.02,0,0,4354.89,4331.89,-0.44,0,-2300,-46.44,-0.03,Strategy_0_59046,1009,00:05:38:37,0,0s,3065,3333.33,0,0,-3065,-61.3,0,25,-2300,-46
,3122618554,12/18/2025 15:14,12/18/2025 16:20,EURUSD,Buy,1.02,1.17393,0,1.17232,1.17393,-5.98,0,16.1,158.24,0.12,Strategy_0_3146987[sl 1.17393],2013,00:01:05:40,71.3,46m,12.2,0.25,21.6,220.32,-5.5,-56.1,79.7,79.7,-5.5,-56.1
,3122583287,12/18/2025 10:51,12/18/2025 10:54,EURGBP,Buy,2.8,0,0.8781,0.87787,0.87809,-16.42,0,2.2,65.86,0.05,3002[tp 0.87810],3002,00:00:03:01,,,,,,,,,,,,
,3122549608,12/18/2025 10:00,12/18/2025 10:32,EURGBP,Sell,0.35,0,0.8774,0.8777,0.8774,-2.06,0,3,11.98,0.01,3005[tp 0.87740],3005,00:00:31:58,3.2,1m,7.3,2.43,3,14.04,-7.3,-34.164,29.1,100,0,0
,3122389614,12/17/2025 14:59,12/17/2025 18:52,EURUSD,Buy,1.02,1.17459,0,1.17262,1.1746,-5.99,0,19.8,195.97,0.15,Strategy_0_3146987[sl 1.17459],2013,00:03:53:37,100,3h 53m,15.5,0.03,31.3,319.26,0,0,100,63.3,-11.5,-117.3
,3122195404,12/16/2025 17:54,12/16/2025 17:59,EURGBP,Sell,0.48,0,0.8774,0.87745,0.87738,-2.82,0,0.7,1.69,0,3001[tp 0.87740],3001,00:00:04:31,100,4m,11.3,0.08,12,77.28,0,0,100,5.8,-11.3,-72.77
,3121389530,12/11/2025 18:47,12/11/2025 23:50,XAUUSD,Buy,0.05,0,0,4264.84,4283.03,-1.07,0,1819,89.88,0.07,Strategy_0_59046Strategy_0_59046,1009,00:05:02:32,100,5h 2m,982,0,1830,91.5,0,0,100,99.4,-11,-0.55
,3121066727,12/10/2025 8:49,12/10/2025 23:50,EURUSD,Buy,2.1,0,0,1.16344,1.16912,-12.25,0,56.8,1180.55,0.9,Strategy_0_2190562Strategy_0_2190562,2006,00:15:00:07,89.4,13h 24m,27.2,0.1,64.5,1354.5,-6.6,-138.6,90.7,89.2,-7.7,-161.7
